avg_p_gmu,avg_p_std,rel_improvement,acc_gmu,acc_std,time_gmu,time_std,converged,final_objective,w_norm_gmu,b_gmu,category,experiment,d,n,sep,K,lambda,lr,epochs
0.07651833333333334,0.049330000000000006,-55.11521048719508,0.9333333333333333,1.0,2.048893690109253,0.020883798599243164,True,0.1584420723516597,0.9545577455257159,0.20151800458368405,uncertainty,heterogeneous_3comp,2,30,,,,,
0.0,0.0,0.0,1.0,1.0,1.6524360179901123,0.0016999244689941406,True,0.01206686847828404,1.0563140975651142,0.05137179993722087,uncertainty,identical_uncertainty,2,30,,,,,
0.033653333333333334,0.017865000000000002,-88.37578132288458,0.9666666666666667,1.0,1.6722915172576904,0.0010142326354980469,True,0.09030466311975362,1.0935914002958298,-0.03879250834206324,uncertainty,asymmetric_classes,2,30,,,,,
0.14717333333333335,0.15571000000000002,5.482413889067281,0.9333333333333333,0.9,1.698413610458374,0.0010821819305419922,False,0.496728878033084,1.2321688231820367,0.0147221018031586,uncertainty,heavily_overlapping,2,30,,,,,
0.0,0.0,0.0,1.0,1.0,0.18067598342895508,0.0,True,0.0136996184119661,1.0224782838622681,0.08804439800499166,uncertainty,zero_covariance,2,30,,,,,
0.002833333333333333,0.00109,-159.93883792048928,1.0,1.0,0.4954402446746826,0.0,True,0.051043708439556454,1.1069711836964138,0.038272471332268215,uncertainty,concentrated_weights,2,30,,,,,
0.361325,0.3648233333333334,0.9589116193226074,0.7,0.7,0.3364090919494629,0.0009999275207519531,False,0.7845567707484148,0.7984550194040121,0.015733735294597487,geometry,class_sep=1.0,2,30,1.0,,,,
0.070205,0.12013166666666668,41.559955049320884,0.9,0.9333333333333333,0.3547990322113037,0.0010020732879638672,False,0.35760565224602614,1.2359322634024934,-0.02055425469766833,geometry,class_sep=2.0,2,30,2.0,,,,
0.016205,0.0007083333333333333,-2187.764705882353,1.0,1.0,0.34707140922546387,0.0,True,0.04202386535562466,1.0051418719968663,-0.08946046615846116,geometry,class_sep=4.0,2,30,4.0,,,,
0.0,0.0,0.0,1.0,1.0,0.35932397842407227,0.001110076904296875,True,0.01733685979098271,1.8620880640281645,-8.318135479621072e-14,geometry,class_sep=8.0,2,30,8.0,,,,
